DART 기업코드,기업명,에러 발생한 REPORT TYPE
814786,스카이이앤엠,11013
128111,포스코엠텍,11013
858364,BNK금융지주,11013
129013,CJ씨푸드,11013
380429,CMG제약,11013
115694,DB금융투자,11013
159102,DB손해보험,11013
878915,DGB금융지주,11013
128971,DL건설,11013
151298,DSR제강,11013
1437186,ESR켄달스퀘어리츠,11013
980122,JB금융지주,11013
688996,KB금융,11013
1391033,NH프라임리츠,11013
116301,NI스틸,11013
938688,SBI핀테크솔루션즈,11013
137809,SHD,11013
1535150,SK리츠,11013
1596425,SK스퀘어,11013
131850,SK증권,11013
261009,감성코퍼레이션,11013
100601,강원에너지,11013
129554,갤럭시아에스엠,11013
206039,경남스틸,11013
101664,경보제약,11013
1032583,고려시멘트,11013
103015,고려제약,11013
764807,골프존데카,11013
321204,관악산업,11013
220561,광주신세계,11013
104120,광진실업,11013
1476219,교보10호기업인수목적,11013
1582228,교보11호스팩,11013
1398151,교보9호스팩,11013
113359,교보증권,11013
104537,국영지앤엠,11013
203847,국일신동,11013
1329957,국전약품,11013
565215,굿센,11013
1170962,GRT,11013
454946,그린케미칼,11013
159731,글로본,11013
168401,금비,11013
106614,기신정기,11013
129420,까뮤이앤씨,11013
1136001,나노브릭,11013
660459,나노씨엠에스,11013
1117422,나눔테크,11013
1267550,나라소프트,11013
651017,나우IB,11013
425254,나우코스,11013
767628,나이벡,11013
245694,남화산업,11013
876865,네오오토,11013
842585,네이블커뮤니케이션즈,11013
117276,네이처셀,11013
523176,비엘헬스케어,11013
1368354,네패스아크,11013
1328170,노드메이슨,11013
1065785,노브메타파마,11013
1135057,녹십자웰빙,11013
867478,아시아종묘,11013
536888,다믈멀티미디어,11013
1416642,다보링크,11013
1344363,다원넥스뷰,11013
1163050,다이오진,11013
1413371,HLB사이언스,11013
910202,대동고려삼,11013
191287,대동금속,11013
109310,대동기어,11013
109268,대동스틸,11013
157104,대동전자,11013
109587,대륙제관,11013
109781,대림제지,11013
1259418,대보마그네틱,11013
177320,대성미생물,11013
109037,대성창투,11013
442905,대성파인텍,11013
1567520,대신밸런스제10호스팩,11013
1580178,대신밸런스제11호스팩,11013
1407909,대신밸런스제8호스팩,11013
110875,대신정보통신,11013
110893,대신증권,11013
111111,대양금속,11013
111458,대영포장,11013
111689,대우부품,11013
250997,대정화금,11013
414540,대주이엔티,11013
207375,대한뉴팜,11013
113128,대한약품,11013
113544,대한화섬,11013
113614,대현,11013
428729,대호에이엘,11013
440712,WI,11013
991225,더콘텐츠온,11013
1343735,데이드림엔터,11013
877819,데이타솔루션,11013
553025,데이터스트림즈,11013
1109690,도부마스크,11013
526678,동방선기,11013
116268,동성제약,11013
116408,동신건설,11013
117267,동양생명,11013
993931,동양파일,11013
695969,동운아나텍,11013
118008,동원금속,11013
118451,동일제강,11013
172945,동일철강,11013
1412725,두산퓨얼셀,11013
867034,듀켐바이오,11013
1591262,디비금융스팩10호,11013
1505450,DB금융스팩8호,11013
1505469,DB금융스팩9호,11013
177199,디씨엠,11013
230814,디아크,11013
1475609,디앤디플랫폼리츠,11013
