,date,symbol,reportedCurrency,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,sellingGeneralAndAdministrativeExpenses,operatingIncome,interestIncome,interestExpense,incomeBeforeTax,netIncome,operatingIncomeRatio,fillingDate,totalCurrentAssets,totalNonCurrentAssets,totalAssets,totalCurrentLiabilities,totalNonCurrentLiabilities,totalLiabilities,totalEquity,totalLiabilitiesAndTotalEquity,netCashProvidedByOperatingActivities,netCashUsedForInvestingActivites,netCashUsedProvidedByFinancingActivities,cashAtBeginningOfPeriod,cashAtEndOfPeriod,company_name,ceo,phone,website,state,city,country,address,zip,sector,exchangeShortName,exchange,description
0,2020-12-31,ALAQU.PA,EUR,2020-12-31,2020-12-31,2020,FY,30228551,27253771,0,1043812,108025,2112,1109440,694768,0.034530666,2020-12-31,8525596,747049,9272645,6056731,383229,6439960,2832685,9272645,,,,,,Aquila SA,,33825302424,https://www.reseau-aquila.fr,PACA,Avignon,FR,"980 rue Sainte Genevieve, Zone Industrielle de Courtine",84092,Industrials,EURONEXT,Paris,"Aquila SA provides alarm intervention services in France. The company also offers security round, monitoring, and security guard services. It operates through a network of 300 security companies. The company was founded in 1993 and is based in Avignon, France."
1,2019-12-31,ALAQU.PA,EUR,2019-12-31,2019-12-31,2019,FY,26433524,23492164,0,1130989,95836,948,1197135,711270,0.04278616,2019-12-31,9539568,1028214,10567782,8417938,11927,8429865,2137917,10567782,,,,,,Aquila SA,,33825302424,https://www.reseau-aquila.fr,PACA,Avignon,FR,"980 rue Sainte Genevieve, Zone Industrielle de Courtine",84092,Industrials,EURONEXT,Paris,"Aquila SA provides alarm intervention services in France. The company also offers security round, monitoring, and security guard services. It operates through a network of 300 security companies. The company was founded in 1993 and is based in Avignon, France."
2,2020-12-31,EC.PA,USD,2020-12-31,2020-12-31,2020,FY,434933000,496786000,0,-233463000,0,33217000,-272425000,-87465000,-0.536779228,2020-12-31,1153821000,2668528000,3822349000,368599000,1674159000,2042758000,1779591000,3822349000,112152000,-61137000,-301614000,699651000,450052000,TotalEnergies EP Gabon Soci?t? anonyme, Benoit Chague,241556000,https://ep.totalenergies.ga,,Port Gentil,GA,"boulevard Hourcq, Bp 525",,Energy,EURONEXT,Paris,"TotalEnergies EP Gabon Soci?t? engages in the mining, exploration, and production of crude oil in Gabon. As of December 31, 2019, the company held mining exploration area that covers approximately 1,461 square kilometers. It also holds interests in operated and non-operated production fields. The company was formerly known as Total Gabon. The company was founded in 1949 and is headquartered in Port-Gentil, Gabon. TotalEnergies EP Gabon Soci?t? is a subsidiary of TotalEnergies SE."
3,2019-12-31,EC.PA,USD,2019-12-31,2019-12-31,2019,FY,807793000,208780000,0,117766000,988000,0,120740000,50378000,0.145787349,2019-12-31,1066340000,3303589000,4369929000,269970000,1987451000,2257421000,2112508000,4369929000,480164000,-134847000,-53781000,408115000,699651000,TotalEnergies EP Gabon Soci?t? anonyme, Benoit Chague,241556000,https://ep.totalenergies.ga,,Port Gentil,GA,"boulevard Hourcq, Bp 525",,Energy,EURONEXT,Paris,"TotalEnergies EP Gabon Soci?t? engages in the mining, exploration, and production of crude oil in Gabon. As of December 31, 2019, the company held mining exploration area that covers approximately 1,461 square kilometers. It also holds interests in operated and non-operated production fields. The company was formerly known as Total Gabon. The company was founded in 1949 and is headquartered in Port-Gentil, Gabon. TotalEnergies EP Gabon Soci?t? is a subsidiary of TotalEnergies SE."
4,2020-12-31,CAP.PA,EUR,2020-12-31,2020-12-31,2020,FY,15848000000,11712000000,2257000000,1758000000,48000000,178000000,1355000000,957000000,0.110928824,2020-12-31,7839000000,14115000000,21954000000,5975000000,9864000000,15839000000,6115000000,21954000000,1661000000,-1714000000,562000000,2450000000,2828000000,Capgemini SE,Mr. Paul Hermelin,33147545000,https://www.capgemini.com,ILE-DE-FRANCE,Paris,FR,11 rue de Tilsitt,75017,Technology,EURONEXT,Paris,"Capgemini SE provides consulting, digital transformation, technology, and engineering services primarily in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. The company offers strategy and transformation services, including strategy, technology, data science, and creative design to support various clients within the digital economy. It also provides applications and technology services that helps the clients to develop, modernize, extend, and secure their IT and digital environment using the latest technologies, as well as offers local technology services in cloud, cybersecurity, quality assurance, testing, and new technology fields. In addition, the company offers business process outsourcing and transactional services, as well as installation and maintenance services for its clients' IT infrastructures in data centers or in the cloud. It serves various industries, including consumer goods and retail; energy and utilities; banking, capital markets, and insurance; manufacturing and life sciences; public sector; telecommunications, media, and technology; and services. Capgemini SE has a strategic partnership with CONA Services LLC to develop digital solutions for the consumer products industry and retail customers. The company was founded in 1967 and is headquartered in Paris, France."
5,2019-12-31,CAP.PA,EUR,2019-12-31,2019-12-31,2019,FY,14125000000,10274000000,2110000000,1565000000,62000000,114000000,1354000000,856000000,0.11079646,2019-12-31,6563000000,11572000000,18135000000,5120000000,4596000000,9716000000,8419000000,18135000000,1794000000,-868000000,-468000000,2004000000,2450000000,Capgemini SE,Mr. Paul Hermelin,33147545000,https://www.capgemini.com,ILE-DE-FRANCE,Paris,FR,11 rue de Tilsitt,75017,Technology,EURONEXT,Paris,"Capgemini SE provides consulting, digital transformation, technology, and engineering services primarily in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. The company offers strategy and transformation services, including strategy, technology, data science, and creative design to support various clients within the digital economy. It also provides applications and technology services that helps the clients to develop, modernize, extend, and secure their IT and digital environment using the latest technologies, as well as offers local technology services in cloud, cybersecurity, quality assurance, testing, and new technology fields. In addition, the company offers business process outsourcing and transactional services, as well as installation and maintenance services for its clients' IT infrastructures in data centers or in the cloud. It serves various industries, including consumer goods and retail; energy and utilities; banking, capital markets, and insurance; manufacturing and life sciences; public sector; telecommunications, media, and technology; and services. Capgemini SE has a strategic partnership with CONA Services LLC to develop digital solutions for the consumer products industry and retail customers. The company was founded in 1967 and is headquartered in Paris, France."
6,2020-12-31,CNV.PA,EUR,2020-12-31,2020-12-31,2020,FY,2224801000,1750830000,92285000,53097000,0,14700000,-13211000,-23419000,0.023865955,2020-12-31,785050000,562947000,1347997000,1045125000,505915000,1551040000,-203043000,1347997000,170195000,-206448000,4651000,40614000,9011000,Cnova N.V.,Mr. German Pasquale Quiroga Vilardo,,https://www.cnova.com,NOORD-HOLLAND,Amsterdam,NL,Strawinskylaan 3051,1077 ZX,Consumer Cyclical,EURONEXT,Paris,"Cnova N.V. operates as an e-commerce company in France and Western Europe. The company offers home appliances, consumer electronics, computers, home furnishings, and leisure and personal goods through its cdiscount.com website, as well as through Cdiscount's showrooms. It also operates Cdiscount Voyages, a travel platform; Cdiscount Billetterie, a ticketing platform; Cdiscount Energie for home energy; Cdiscount Mobile for cell phone plans; and Cdiscount Immobilier, a real estate platform. The company was founded in 1998 and is based in Amsterdam, the Netherlands. Cnova N.V. is a subsidiary of Casino, Guichard-Perrachon S.A."
7,2019-12-31,CNV.PA,EUR,2019-12-31,2019-12-31,2019,FY,2194893000,1805119000,87254000,7511000,0,9624000,-62325000,-66109000,0.003422035,2019-12-31,725339000,565680000,1291019000,1285839000,188282000,1474121000,-183102000,1291019000,135245000,-87213000,-34753000,27334000,40614000,Cnova N.V.,Mr. German Pasquale Quiroga Vilardo,,https://www.cnova.com,NOORD-HOLLAND,Amsterdam,NL,Strawinskylaan 3051,1077 ZX,Consumer Cyclical,EURONEXT,Paris,"Cnova N.V. operates as an e-commerce company in France and Western Europe. The company offers home appliances, consumer electronics, computers, home furnishings, and leisure and personal goods through its cdiscount.com website, as well as through Cdiscount's showrooms. It also operates Cdiscount Voyages, a travel platform; Cdiscount Billetterie, a ticketing platform; Cdiscount Energie for home energy; Cdiscount Mobile for cell phone plans; and Cdiscount Immobilier, a real estate platform. The company was founded in 1998 and is based in Amsterdam, the Netherlands. Cnova N.V. is a subsidiary of Casino, Guichard-Perrachon S.A."
8,2020-12-31,DLTA.PA,EUR,2020-12-31,2020-12-31,2020,FY,288706000,137676000,23353000,43970000,203000,1947000,37260000,29278000,0.152300264,2020-12-31,185210000,187106000,372316000,137368000,77889000,215257000,157059000,372316000,50462000,-55338000,33632000,18391000,45655000,Delta Plus Group,Mr. Jerome Benoit,33490742033,https://www.deltaplusgroup.com,PACA,Apt,FR,Z.A.C. La Peyroliere BP 140 APT Cedex,84405,Consumer Cyclical,EURONEXT,Paris,"Delta Plus Group designs, manufactures, and distributes a range of personal protective equipment worldwide. It provides head protection products, including eyewear, skull, hearing, and respiratory protection products; and hand protection products, such as high tech, synthetic, leather, and knitted gloves. The company also offers body protection products comprising work wear, technical wear, outdoor wear, and disposable wear products; and foot protection products consisting of shoes, boots, and accessories. In addition, it provides fall protection products, including body support products, fall arrester systems, anchorage-work positioning products, connecting systems, and suspension and rescue products. The company was founded in 1977 and is headquartered in Apt, France."
9,2019-12-31,DLTA.PA,EUR,2019-12-31,2019-12-31,2019,FY,263301000,125961000,21287000,37730000,215000,2260000,33474000,26654000,0.143296076,2019-12-31,154677000,154009000,308686000,96919000,60974000,157893000,150793000,308686000,24899000,-15411000,-7902000,16953000,18391000,Delta Plus Group,Mr. Jerome Benoit,33490742033,https://www.deltaplusgroup.com,PACA,Apt,FR,Z.A.C. La Peyroliere BP 140 APT Cedex,84405,Consumer Cyclical,EURONEXT,Paris,"Delta Plus Group designs, manufactures, and distributes a range of personal protective equipment worldwide. It provides head protection products, including eyewear, skull, hearing, and respiratory protection products; and hand protection products, such as high tech, synthetic, leather, and knitted gloves. The company also offers body protection products comprising work wear, technical wear, outdoor wear, and disposable wear products; and foot protection products consisting of shoes, boots, and accessories. In addition, it provides fall protection products, including body support products, fall arrester systems, anchorage-work positioning products, connecting systems, and suspension and rescue products. The company was founded in 1977 and is headquartered in Apt, France."
