,name,name_eng,description_short,description,founded_date,product,homepage,employee_cnt,revenue,ceo_name,email,tel,fax,address1,address2,post_code,facebook,youtube,logo,hash_tag,nation_id,industry_id,is_active,created_at,updated_at
0,Clariant AG,Clariant AG,"Clariant AG, together with its subsidiaries, develops, manufactures, distributes, and sells specialty chemicals worldwide. It operates in three segments: Care Chemicals, Catalysis, Natural Resources. The company offers flame retardants, performance additives, and advanced surface solutions for use in plastics, coatings, inks, and other applications; and catalysts for the petrochemical and refining, synthesis gas, chemical, emissions control, specialty zeolites and zeolite-based, and custom catalyst markets. It also provides bentonite based specialty products for the oil purification, foundry additive, desiccant, oxygen absorber, humidity indicator, feed additives, civil engineering, waste water treatment, clay specialties, paper and detergent additive, PVC stabilizer, BTX-catalyst, and kerosene and jet fuel purification industries. In addition, the company offers industrial and consumer specialty chemicals and application solutions for the automotive brake fluid and coolant, aircraft anti-itching and deicing fluid, construction chemical, agrochemical and agricultural adjuvants, food ingredients, gas treatment, heat transfer fluid, home care, industrial cleaning, industrial lubricant additive, special solvent, paint and coating, and personal care ingredient markets. Additionally, the company offers oilfield production chemicals for enhanced oil recovery, offshore and deep water, conventional and unconventional oil and gas, heavy oil, paraffin control technologies, and well services additives, as well as Veritrax, an intelligent chemical management system; chemical solutions for the end-to-end mining process; refinery services' additives; biotech and bio-based chemicals, such as sunliquid, which is an agricultural residue converted to cellulosic ethanol; and VitiSpheres encapsulated active ingredients. Clariant AG is headquartered in Muttenz, Switzerland.","Clariant AG, together with its subsidiaries, develops, manufactures, distributes, and sells specialty chemicals worldwide. It operates in three segments: Care Chemicals, Catalysis, Natural Resources. The company offers flame retardants, performance additives, and advanced surface solutions for use in plastics, coatings, inks, and other applications; and catalysts for the petrochemical and refining, synthesis gas, chemical, emissions control, specialty zeolites and zeolite-based, and custom catalyst markets. It also provides bentonite based specialty products for the oil purification, foundry additive, desiccant, oxygen absorber, humidity indicator, feed additives, civil engineering, waste water treatment, clay specialties, paper and detergent additive, PVC stabilizer, BTX-catalyst, and kerosene and jet fuel purification industries. In addition, the company offers industrial and consumer specialty chemicals and application solutions for the automotive brake fluid and coolant, aircraft anti-itching and deicing fluid, construction chemical, agrochemical and agricultural adjuvants, food ingredients, gas treatment, heat transfer fluid, home care, industrial cleaning, industrial lubricant additive, special solvent, paint and coating, and personal care ingredient markets. Additionally, the company offers oilfield production chemicals for enhanced oil recovery, offshore and deep water, conventional and unconventional oil and gas, heavy oil, paraffin control technologies, and well services additives, as well as Veritrax, an intelligent chemical management system; chemical solutions for the end-to-end mining process; refinery services' additives; biotech and bio-based chemicals, such as sunliquid, which is an agricultural residue converted to cellulosic ethanol; and VitiSpheres encapsulated active ingredients. Clariant AG is headquartered in Muttenz, Switzerland.",2001-05-21,Specialty Chemicals,https://www.clariant.com,13057,3860000000.0,Dr. Hariolf Kottmann,NA,,NA,Rothausstrasse 61,"Muttenz, BASEL-LANDSCHAFT, CH",4132,https://www.clariant.com,https://www.clariant.com,https://financialmodelingprep.com/image-stock/CLN.SW.png,"#Clariant AG, #Specialty Chemicals, #Basic Materials",20,1,True,2022-05-20 00:00:00,2022-05-20 00:00:00
1,General Electric Company,General Electric Company,"General Electric Company operates as a high-tech industrial company in Europe, China, Asia, the Americas, the Middle East, and Africa. It operates through four segments: Power, Renewable Energy, Aviation, and Healthcare segments. The Power segment offers gas and steam turbines, full balance of plant, upgrade, and service solutions, as well as data-leveraging software for power generation, industrial, government, and other customers. The Renewables segment provides various solutions for its customers through combining onshore and offshore wind, blade manufacturing, grid solutions, hydro, storage, hybrid renewables, and digital services offerings. The Aviation segment designs and produces commercial and military aircraft engines, integrated engine components, electric power, and mechanical aircraft systems; and provides aftermarket services. The Healthcare segment provides healthcare technologies to developed and emerging markets in medical imaging, digital solutions, patient monitoring and diagnostics, and drug discovery and performance improvement solutions that are the building blocks of precision health to hospitals and medical facilities. The company also engages in the provision of various financial solutions; and management of run-off insurance operations, which provides life and health insurance and reinsurance products, as well as grid management software. General Electric Company was incorporated in 1892 and is headquartered in Boston, Massachusetts.","General Electric Company operates as a high-tech industrial company in Europe, China, Asia, the Americas, the Middle East, and Africa. It operates through four segments: Power, Renewable Energy, Aviation, and Healthcare segments. The Power segment offers gas and steam turbines, full balance of plant, upgrade, and service solutions, as well as data-leveraging software for power generation, industrial, government, and other customers. The Renewables segment provides various solutions for its customers through combining onshore and offshore wind, blade manufacturing, grid solutions, hydro, storage, hybrid renewables, and digital services offerings. The Aviation segment designs and produces commercial and military aircraft engines, integrated engine components, electric power, and mechanical aircraft systems; and provides aftermarket services. The Healthcare segment provides healthcare technologies to developed and emerging markets in medical imaging, digital solutions, patient monitoring and diagnostics, and drug discovery and performance improvement solutions that are the building blocks of precision health to hospitals and medical facilities. The company also engages in the provision of various financial solutions; and management of run-off insurance operations, which provides life and health insurance and reinsurance products, as well as grid management software. General Electric Company was incorporated in 1892 and is headquartered in Boston, Massachusetts.",1892-06-23,Specialty Industrial Machinery,https://www.ge.com,168000,74196000000.0,Mr. H. Lawrence Culp,NA,16174433000,NA,5 NECCO STREET,"Boston, MASSACHUSETTS, US",02210,https://www.ge.com,https://www.ge.com,https://financialmodelingprep.com/image-stock/GE.SW.png,"#General Electric Company, #Specialty Industrial Machinery, #Industrials",20,1,True,2022-05-20 00:00:00,2022-05-20 00:00:00
2,Cassiopea S.p.A.,Cassiopea S.p.A.,"Cassiopea S.p.A., a clinical-stage specialty pharmaceutical company, focuses on developing and commercializing medical dermatology products worldwide. It offers Winlevi, an antiandrogen, which has completed Phase III clinical trial for the topical treatment of acne; Breezula, a topical antiandrogen that is in Phase II clinical trial to treat androgenic alopecia; CB-06-01, a topical antibiotic, which is in Phase II clinical trial for the treatment of acne, including strains resistant to other antibiotics; and CB-06-02, a novel integrin activator that has completed Phase II clinical trial to treat genital warts. The company was formerly known as Cosmo Dermatos S.r.l. Cassiopea S.p.A. was founded in 2013 and is based in Lainate, Italy. As of December 2, 2021, Cassiopea S.p.A. operates as a subsidiary of Cosmo Pharmaceuticals N.V.","Cassiopea S.p.A., a clinical-stage specialty pharmaceutical company, focuses on developing and commercializing medical dermatology products worldwide. It offers Winlevi, an antiandrogen, which has completed Phase III clinical trial for the topical treatment of acne; Breezula, a topical antiandrogen that is in Phase II clinical trial to treat androgenic alopecia; CB-06-01, a topical antibiotic, which is in Phase II clinical trial for the treatment of acne, including strains resistant to other antibiotics; and CB-06-02, a novel integrin activator that has completed Phase II clinical trial to treat genital warts. The company was formerly known as Cosmo Dermatos S.r.l. Cassiopea S.p.A. was founded in 2013 and is based in Lainate, Italy. As of December 2, 2021, Cassiopea S.p.A. operates as a subsidiary of Cosmo Pharmaceuticals N.V.",2015-07-01,Biotechnology,https://www.cassiopea.com,11,0.0,Ms. Diana Harbort,NA,390286891124,NA,Via Cristoforo Colombo 1,"Lainate, MILANO, IT",20020,https://www.cassiopea.com,https://www.cassiopea.com,https://financialmodelingprep.com/image-stock/SKIN.SW.jpg,"#Cassiopea S.p.A., #Biotechnology, #Pharmaceuticals",20,1,False,2022-05-20 00:00:00,2022-05-20 00:00:00
3,St. Galler Kantonalbank AG,St. Galler Kantonalbank AG,"St. Galler Kantonalbank AG, a cantonal bank, provides banking services to the local population, and small and middle-sized companies in the Cantons of St. Gallen and Appenzell Ausserrhoden. It offers asset management products, including funds and structured products; and financial planning services, such as succession planning, retirement planning, and wealth tax advisory services, as well as e-banking and investment research services. The company was formerly known as St. Gallische Kantonalbank and changed its name to St. Galler Kantonalbank AG in 2000. St. Galler Kantonalbank AG was founded in 1868 and is based in Sankt Gallen, Switzerland.","St. Galler Kantonalbank AG, a cantonal bank, provides banking services to the local population, and small and middle-sized companies in the Cantons of St. Gallen and Appenzell Ausserrhoden. It offers asset management products, including funds and structured products; and financial planning services, such as succession planning, retirement planning, and wealth tax advisory services, as well as e-banking and investment research services. The company was formerly known as St. Gallische Kantonalbank and changed its name to St. Galler Kantonalbank AG in 2000. St. Galler Kantonalbank AG was founded in 1868 and is based in Sankt Gallen, Switzerland.",2001-04-02,Banks—Regional,https://www.sgkb.ch,1319,495810000.0,Mr. Roland Ledergerber,NA,41712313131,NA,St. Leonhardstrasse 25,"ST. GALLEN, ST. GALLEN, CH",9001,https://www.sgkb.ch,https://www.sgkb.ch,https://financialmodelingprep.com/image-stock/SGKN.SW.png,"#St. Galler Kantonalbank AG, #Banks—Regional, #Financial Services",20,1,True,2022-05-20 00:00:00,2022-05-20 00:00:00
4,Metro AG,Metro AG,"Metro AG engages in the food wholesale business. It operates 748 wholesale stores and supply depots under the METRO, MAKRO, Aviludo, Classic Fine Foods, Davigel Spain, Pro à Pro, and Rungis Express brand names serving hotels, restaurants, bars, cafes, catering companies, small grocery stores, kiosks, independent retailers, service providers, and authorities in Europe, Russia, and Asia, as well as online marketplace METRO MARKETS. The company also develops digital solutions and offers food delivery services. In addition, it provides services in the areas of real estate, logistics, information technology, procurement, and advertising. The company was formerly known as METRO Wholesale & Food Specialist AG and changed its name to METRO AG in August 2017. Metro AG was founded in 1964 and is based in Düsseldorf, Germany.","Metro AG engages in the food wholesale business. It operates 748 wholesale stores and supply depots under the METRO, MAKRO, Aviludo, Classic Fine Foods, Davigel Spain, Pro à Pro, and Rungis Express brand names serving hotels, restaurants, bars, cafes, catering companies, small grocery stores, kiosks, independent retailers, service providers, and authorities in Europe, Russia, and Asia, as well as online marketplace METRO MARKETS. The company also develops digital solutions and offers food delivery services. In addition, it provides services in the areas of real estate, logistics, information technology, procurement, and advertising. The company was formerly known as METRO Wholesale & Food Specialist AG and changed its name to METRO AG in August 2017. Metro AG was founded in 1964 and is based in Düsseldorf, Germany.",2017-08-02,Food Distribution,https://www.metroag.de,86527,24765000000.0,NA,NA,49 211 6886 1280,NA,Metro-Strasse 1,"DÃ¼sseldorf, , DE",40235,https://www.metroag.de,https://www.metroag.de,https://financialmodelingprep.com/image-stock/B4B.SW.png,"#Metro AG, #Food Distribution, #Consumer Defensive",20,1,False,2022-05-20 00:00:00,2022-05-20 00:00:00
5,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne","LVMH Moët Hennessy - Louis Vuitton, Société Européenne","LVMH Moët Hennessy - Louis Vuitton, Société Européenne operates as a luxury products company. The company offers champagnes, wines, and spirits under the Ao Yun, Ardbeg, Belvedere, Bodega Numanthia, Cape Mentelle, Chandon, Château Cheval Blanc, Château d'Yquem, Cheval des Andes, Clos des Lambrays, Clos19, Cloudy Bay, Dom Pérignon, Glenmorangie, Hennessy, Krug, Mercier, Moët & Chandon, Newton, Vineyard, Ruinart, Terrazas de los Andes, Veuve Clicquot, Volcan de mi Tierra, and Woodinville brands. It also provides fashion and leather products under the Berluti, Celine, Christian Dior, Emilio Pucci, Fendi, Givenchy, Kenzo, Loewe, Loro Piana, Louis Vuitton, Marc Jacobs, Moynat, Nicholas Kirkwood, Pink Shirtmaker, and Rimowa brands. In addition, the company offers perfumes and cosmetics under the Acqua di Parma, Benefit Cosmetics, Fenty Beauty by Rihanna, Fresh, Parfums Givenchy, Guerlain, Kat Von D Beauty, Kenzo Parfums, Maison Francis Kurkdjian, Make Up For Ever, Marc Jacobs Beauty, Parfums Christian Dior, and Perfumes Loewe brands; watches and jewelry under the Bvlgari, Chaumet, Fred, Hublot, TAG Heuerand Zenith brands; and custom-designed yachts under the Feadship brand name, as well as designs and builds luxury yachts under the Royal Van Lent brand. Further, it provides daily newspapers under the Les Échos brand; Belmond, a luxury tourism service; home other activities under the Belmond, Cheval Blanc, Connaissance des Arts, Cova, Investir, Jardin d'Acclimatation, La Samaritaine, Le Parisien, and Radio Classique brands; and selective retailing products under the DFS, La Grande Epicerie de Paris, Le Bon Marché Rive Gauche, Sephora, and Starboard Cruise brands, as well as operates Jardin d'Acclimatation, a leisure and amusement park. The company operates 4,915 stores worldwide. LVMH Moët Hennessy - Louis Vuitton, Société Européenne was incorporated in 1923 and is headquartered in Paris, France.","LVMH Moët Hennessy - Louis Vuitton, Société Européenne operates as a luxury products company. The company offers champagnes, wines, and spirits under the Ao Yun, Ardbeg, Belvedere, Bodega Numanthia, Cape Mentelle, Chandon, Château Cheval Blanc, Château d'Yquem, Cheval des Andes, Clos des Lambrays, Clos19, Cloudy Bay, Dom Pérignon, Glenmorangie, Hennessy, Krug, Mercier, Moët & Chandon, Newton, Vineyard, Ruinart, Terrazas de los Andes, Veuve Clicquot, Volcan de mi Tierra, and Woodinville brands. It also provides fashion and leather products under the Berluti, Celine, Christian Dior, Emilio Pucci, Fendi, Givenchy, Kenzo, Loewe, Loro Piana, Louis Vuitton, Marc Jacobs, Moynat, Nicholas Kirkwood, Pink Shirtmaker, and Rimowa brands. In addition, the company offers perfumes and cosmetics under the Acqua di Parma, Benefit Cosmetics, Fenty Beauty by Rihanna, Fresh, Parfums Givenchy, Guerlain, Kat Von D Beauty, Kenzo Parfums, Maison Francis Kurkdjian, Make Up For Ever, Marc Jacobs Beauty, Parfums Christian Dior, and Perfumes Loewe brands; watches and jewelry under the Bvlgari, Chaumet, Fred, Hublot, TAG Heuerand Zenith brands; and custom-designed yachts under the Feadship brand name, as well as designs and builds luxury yachts under the Royal Van Lent brand. Further, it provides daily newspapers under the Les Échos brand; Belmond, a luxury tourism service; home other activities under the Belmond, Cheval Blanc, Connaissance des Arts, Cova, Investir, Jardin d'Acclimatation, La Samaritaine, Le Parisien, and Radio Classique brands; and selective retailing products under the DFS, La Grande Epicerie de Paris, Le Bon Marché Rive Gauche, Sephora, and Starboard Cruise brands, as well as operates Jardin d'Acclimatation, a leisure and amusement park. The company operates 4,915 stores worldwide. LVMH Moët Hennessy - Louis Vuitton, Société Européenne was incorporated in 1923 and is headquartered in Paris, France.",2014-11-04,,https://www.lvmh.com,,64215000000.0,NA,NA,33 1 44 13 22 22,NA,"22, Avenue Montaigne","Paris, , FR",75008,https://www.lvmh.com,https://www.lvmh.com,https://financialmodelingprep.com/image-stock/MC.SW.png,"#LVMH Moët Hennessy - Louis Vuitton, Société Européenne, #, #",20,1,False,2022-05-20 00:00:00,2022-05-20 00:00:00
6,Schindler Holding AG,Schindler Holding AG,"Schindler Holding AG engages in the production, installation, maintenance, and modernization of passenger and freight elevators, escalators, and moving walks worldwide. It also offers digital media services for engaging communication channels, such as Schindler Ahead DoorShow, which displays information, advertising, and announcements on the elevator doors; Schindler Ahead SmartMirror, a mirror and a screen for entertainment or information; and Schindler Ahead AdScreen, an advertising and communication space. In addition, the company provides transit management services through its destination control system. It offers its products and services to residential buildings, commercial and office buildings, hotels, healthcare facilities, shopping malls and retail facilities, public transport locations, institutional buildings, and marines, as well as stadiums, arenas, and convention centers. The company was founded in 1874 and is based in Hergiswil, Switzerland.","Schindler Holding AG engages in the production, installation, maintenance, and modernization of passenger and freight elevators, escalators, and moving walks worldwide. It also offers digital media services for engaging communication channels, such as Schindler Ahead DoorShow, which displays information, advertising, and announcements on the elevator doors; Schindler Ahead SmartMirror, a mirror and a screen for entertainment or information; and Schindler Ahead AdScreen, an advertising and communication space. In addition, the company provides transit management services through its destination control system. It offers its products and services to residential buildings, commercial and office buildings, hotels, healthcare facilities, shopping malls and retail facilities, public transport locations, institutional buildings, and marines, as well as stadiums, arenas, and convention centers. The company was founded in 1874 and is based in Hergiswil, Switzerland.",2006-03-27,Specialty Industrial Machinery,https://www.schindler.com,69308,11236000000.0,Mr. Thomas Oetterli,NA,41416328550,NA,Seestrasse 55,"Hergiswil, NIDWALDEN, CH",6052,https://www.schindler.com,https://www.schindler.com,https://financialmodelingprep.com/image-stock/SCHP.SW.png,"#Schindler Holding AG, #Specialty Industrial Machinery, #Industrials",20,1,True,2022-05-20 00:00:00,2022-05-20 00:00:00
7,Wells Fargo & Company,Wells Fargo & Company,"Wells Fargo & Company, a diversified financial services company, provides banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally. It operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management. The Consumer Banking and Lending segment offers diversified financial products and services for consumers and small businesses. Its financial products and services include checking and savings accounts, and credit and debit cards, as well as home, auto, personal, and small business lending services. The Commercial Banking segment provides financial solutions to private, family owned, and certain public companies. Its products and services include banking and credit products across various industry sectors and municipalities, secured lending and lease products, and treasury management services. The Corporate and Investment Banking segment offers a suite of capital markets, banking, and financial products and services to corporate, commercial real estate, government, and institutional clients. Its products and services comprise corporate banking, investment banking, treasury management, commercial real estate lending and servicing, equity, and fixed income solutions, as well as sales, trading, and research capabilities services. The Wealth and Investment Management segment provides personalized wealth management, investment, and retirement products and services to clients. It also delivers financial planning, private banking, credit, and fiduciary services to high-net worth and ultra-high-net worth individuals and families. Wells Fargo & Company was founded in 1852 and is headquartered in San Francisco, California.","Wells Fargo & Company, a diversified financial services company, provides banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally. It operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management. The Consumer Banking and Lending segment offers diversified financial products and services for consumers and small businesses. Its financial products and services include checking and savings accounts, and credit and debit cards, as well as home, auto, personal, and small business lending services. The Commercial Banking segment provides financial solutions to private, family owned, and certain public companies. Its products and services include banking and credit products across various industry sectors and municipalities, secured lending and lease products, and treasury management services. The Corporate and Investment Banking segment offers a suite of capital markets, banking, and financial products and services to corporate, commercial real estate, government, and institutional clients. Its products and services comprise corporate banking, investment banking, treasury management, commercial real estate lending and servicing, equity, and fixed income solutions, as well as sales, trading, and research capabilities services. The Wealth and Investment Management segment provides personalized wealth management, investment, and retirement products and services to clients. It also delivers financial planning, private banking, credit, and fiduciary services to high-net worth and ultra-high-net worth individuals and families. Wells Fargo & Company was founded in 1852 and is headquartered in San Francisco, California.",2014-11-03,Banks—Diversified,https://www.wellsfargo.com,249435,78492000000.0,NA,NA,866 249 3302,NA,420 Montgomery Street,"San Francisco, CA, US",94104,https://www.wellsfargo.com,https://www.wellsfargo.com,https://financialmodelingprep.com/image-stock/WFC.SW.png,"#Wells Fargo & Company, #Banks—Diversified, #Financial Services",20,1,False,2022-05-20 00:00:00,2022-05-20 00:00:00
8,Castle Alternative Invest AG,Castle Alternative Invest AG,"Castle Alternative Invest AG is a fund of hedge funds launched and managed by LGT Capital Partners (Ireland) Ltd. It invests in hedge funds investing in public equity markets across the globe. The fund primarily invests in hedge funds that employs a combination of long/short, relative value, event driven and CTA/macro strategies to make its investments. Castle Alternative Invest AG was formed on July 30, 1996 and is domiciled in Switzerland.","Castle Alternative Invest AG is a fund of hedge funds launched and managed by LGT Capital Partners (Ireland) Ltd. It invests in hedge funds investing in public equity markets across the globe. The fund primarily invests in hedge funds that employs a combination of long/short, relative value, event driven and CTA/macro strategies to make its investments. Castle Alternative Invest AG was formed on July 30, 1996 and is domiciled in Switzerland.",2012-06-28,Asset Management,https://www.castleai.com/en/about-us,0,1738000.0,NA,NA,41554159710,NA,Schuetzenstrasse 6,"PFAEFFIKON, SCHWYZ, CH",2,https://www.castleai.com/en/about-us,https://www.castleai.com/en/about-us,https://financialmodelingprep.com/image-stock/CASN.SW.png,"#Castle Alternative Invest AG, #Asset Management, #Financial Services",20,1,True,2022-05-20 00:00:00,2022-05-20 00:00:00
9,VAT Group AG,VAT Group AG,"VAT Group AG, together with its subsidiaries, develops, manufactures, and supplies vacuum valves in Switzerland, rest of Europe, the United States, Japan, Korea, Singapore, China, rest of Asia, and internationally. The company operates through two segments, Valves and Global Service. The Valves segment offers vacuum valves for the semiconductor, displays, photovoltaics, and vacuum coating industries, as well as for the industrial and research sectors. The Global Service segment provides spare parts, repairs, and upgrades, as well as support services. It also offers gas inlet valves, multi valve modules, vacuum chambers with integrated valves, motion and mechanical components, and edge-welded metal bellows. VAT Group AG was founded in 1965 is headquartered in Sennwald, Switzerland.","VAT Group AG, together with its subsidiaries, develops, manufactures, and supplies vacuum valves in Switzerland, rest of Europe, the United States, Japan, Korea, Singapore, China, rest of Asia, and internationally. The company operates through two segments, Valves and Global Service. The Valves segment offers vacuum valves for the semiconductor, displays, photovoltaics, and vacuum coating industries, as well as for the industrial and research sectors. The Global Service segment provides spare parts, repairs, and upgrades, as well as support services. It also offers gas inlet valves, multi valve modules, vacuum chambers with integrated valves, motion and mechanical components, and edge-welded metal bellows. VAT Group AG was founded in 1965 is headquartered in Sennwald, Switzerland.",2016-04-14,Specialty Industrial Machinery,https://www.vatvalve.com,2540,0.0,Mr. Michael Allison,NA,41817716161,NA,"Seelistrasse 1, Haag","RHEINTAL, ST. GALLEN, CH",9469,https://www.vatvalve.com,https://www.vatvalve.com,https://financialmodelingprep.com/image-stock/VACN.SW.png,"#VAT Group AG, #Specialty Industrial Machinery, #Industrials",20,1,True,2022-05-20 00:00:00,2022-05-20 00:00:00
